REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
A3105L1078;0;"PORTA RETEN BUJE 1"" 1/2 FRENO DELANTERO";"PORTA RETEN BUJE 1"" 1/2 FRENO DELANTERO";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
79245;#N/D;0;#N/D;DANA;DANA;DANA;DIFERENCIAL;0,00;#N/D
3226M1053;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
3226M1053R;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
129767/127601;#N/D;0;#N/D;DANA;DANA;DANA;DIFERENCIAL;0,00;#N/D
A3226Z1456;0;PORTA SPEED CON RODILLOS EJE CHINA 177;PORTA SPEED CON RODILLOS EJE CHINA 177;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
78914;#N/D;0;#N/D;DANA;DANA;DANA;DIFERENCIAL;0,00;#N/D
127600/129768;#N/D;0;#N/D;DANA;DANA;DANA;DIFERENCIAL;0,00;#N/D
A3226V1010;0;PORTA SPEED TRAS S 185 CARR 1752-1753;PORTA SPEED TRAS S 185 CARR 1752-1753;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
340000;0;POTENCIOMETRO ACELERADOR MOTOR CARE ZAPTO CON ARNES;POTENCIOMETRO ACELERADOR MOTOR CARE ZAPTO CON ARNES;WILLIAMS;MT-OTROS;MT-OTROS;VARIOS;0,00;$ 0,00
400467;0;POTENCIOMETRO DEL ACELERADOR DT 466/530;POTENCIOMETRO DEL ACELERADOR DT 466/530;WILLIAMS;MT-OTROS;MT-OTROS;VARIOS;0,00;$ 0,00
131140;#N/D;0;#N/D;WILLIAMS;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
131973;133284;POTENCIÓMETRO SIN ARNES MOTORES CUMMINS, DETROIT, MACK PARA EMISIONES HASTA EURO 3. (DE CONTACTO);POTENCIÓMETRO SIN ARNES MOTORES CUMMINS, DETROIT, MACK PARA EMISIONES HASTA EURO 3. (DE CONTACTO);WILLIAMS;MT-OTROS;MT-OTROS;VARIOS;0,00;$ 0,00
129776-12M;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
129776-12;0;"PRENSA 14X1"" 3/4 TIPO HI";"PRENSA 14X1"" 3/4 TIPO HI";EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;$ 0,00
145390;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
157021-4+113C228;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
155018A;#N/D;0;#N/D;ILLINOIS;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
155018;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
147390-1;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
157698-4MO;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
157699-5;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
127777-5;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
129780-3;0;"PRENSA CLUTCH 14X2""";"PRENSA CLUTCH 14X2""";EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;$ 0,00
165000;104507-1;PRENSA CLUTCH SIN BALINERA;PRENSA CLUTCH SIN BALINERA;FULLER;FULLER;FULLER;TRANSMISION;0,00;$ 0,00
104101-6 SIN DISC;#N/D;0;#N/D;FULLER;FULLER;FULLER;EMBRAGUE;0,00;#N/D
MFC519TREJ;0;"PRENSA DE CLUTCH HINO 155 NISSAN 160 NISSAN FEG 300MM 11,8""";"PRENSA DE CLUTCH HINO 155 NISSAN 160 NISSAN FEG 300MM 11,8""";TRANSEJES;DANA;DANA;DIFERENCIAL;0,00;$ 0,00
166001;#N/D;0;#N/D;FULLER CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
166001 AV;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
157698 4;0;PRENSA 15X2 6 RESORTES;PRENSA 15X2 6 RESORTES;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;$ 0,00
157021-4;#N/D;PRENSA 15X2 9 RESORTES (108925-82AM);#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
357698-4;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
157021-6;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
157022-4;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
102048-1;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
ISC600TREJ;#N/D;0;#N/D;TRANSEJES;DANA;DANA;DIFERENCIAL;0,00;#N/D
TAS0012022;#N/D;0;#N/D;TAS;TAS;TAS;TRANSMISION;0,00;#N/D
LUC 10155;#N/D;0;#N/D;LUCAS OIL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
K1644/EF63360EXC;#N/D;0;#N/D;EXCEL;PAI;PAI;MOTOR;0,00;#N/D
350148CP;#N/D;0;#N/D;NELSON;USA;USA;VARIOS;0,00;#N/D
350160CP;#N/D;0;#N/D;HEAVY DUTY;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
994352;0;PUNTA TORX T-55 PARA SOLTAR TORNILLO CENTRAL DEL FAN CLUTCH HORTON DRIVE MASTER;PUNTA TORX T-55 PARA SOLTAR TORNILLO CENTRAL DEL FAN CLUTCH HORTON DRIVE MASTER;HORTON;HORTON;HORTON;AIRE;0,00;$ 0,00
8870352TAS;#N/D;0;#N/D;TAS;TAS;TAS;TRANSMISION/DIFER;0,00;#N/D
HN 8870352;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
1S-DP-L/Q995575 AV;#N/D;0;#N/D;HORTON;HORTON;HORTON;AIRE;0,00;#N/D
1S-DP-L/Q995575 SIN BALINERA;#N/D;0;#N/D;HORTON;HORTON;HORTON;AIRE;0,00;#N/D
FW3500-7501XL;#N/D;0;#N/D;HOLLAND;USA;USA;VARIOS;0,00;#N/D
FW0070-7602XL03;#N/D;0;#N/D;HOLLAND;USA;USA;VARIOS;0,00;#N/D
FW0070-7602XL;#N/D;0;#N/D;HOLLAN;USA;USA;VARIOS;0,00;#N/D
FONLNRBKT107/830.006.1MANS;0;QUINTA RUEDA FONTAINE TPL6000, TPL7000;QUINTA RUEDA FONTAINE TPL6000, TPL7000;MANSONS;MANSONS;MANSONS;SUSPENSION;0,00;$ 0,00
R802497;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R802496;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
A233275S1059;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R806016;0;"RACHE AUT CONT RAP SH CC 6"" 28E 16°";"RACHE AUT CONT RAP SH CC 6"" 28E 16°";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
A63275M1183;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R801102/R803116;0;"RACHE AUTO CH 6"" 37E TIPO 3 TRAILER";"RACHE AUTO CH 6"" 37E TIPO 3 TRAILER";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R802687 NP;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R802063;0;"RACHE AUTO CH CC 5 1/2"" TP2 1-1/4""24E";"RACHE AUTO CH CC 5 1/2"" TP2 1-1/4""24E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R801041/R803195 TP 3;0;"RACHE AUTO CH CC5 1/2"" TP3 1-1/2""10E";"RACHE AUTO CH CC5 1/2"" TP3 1-1/2""10E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R801041STM;#N/D;"RACHE AUTOMÁTICO TIPO 3 10 EST. COMPLETO 5 1/2""(HORQUILLA+PASADORES)";#N/D;STEMCO;STEMCO;STEMCO;EJE DELANTERO;0,00;#N/D
R801003;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R802354;0;"RACHE AUTO CH CC 6"" TP1 1-1/2""10E";"RACHE AUTO CH CC 6"" TP1 1-1/2""10E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R802355;0;"RACHE AUTO CH CC 6"" TP2 1-1/2""10E";"RACHE AUTO CH CC 6"" TP2 1-1/2""10E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R801042/R803106 TP 3;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R801044STM;#N/D;"RACHE AUTOMÁTICO TIPO 3 10 EST. COMPLETO 6""(HORQUILLA+PASADORES)";#N/D;STEMCO;STEMCO;STEMCO;EJE DELANTERO;0,00;#N/D
R801074/TIPO3 AV;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R802487 AV;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
A3275J1154;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R801074/940223EXC;0;"RACHE AUTOMATICO TIPO3 6"" 28. E";"RACHE AUTOMATICO TIPO3 6"" 28. E";PAI;PAI;PAI;MOTOR;0,00;$ 0,00
A83275B1146;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803116;0;"RACHE AUTO SH 6"" 37E TIPO 3 TRAILER (SIN HORQUILLA)";"RACHE AUTO SH 6"" 37E TIPO 3 TRAILER (SIN HORQUILLA)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R802688/R802446;0;"RACHE AUTO SH CC 5 1/2"" TP1 1-1/2""28E (SIN HORQUILLA)";"RACHE AUTO SH CC 5 1/2"" TP1 1-1/2""28E (SIN HORQUILLA)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R803048/R802446;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803010NP;#N/D;"RACHE AUTOMATICO SIN HORQUILLA 5 1/2"" TIPO 1 DIA. INT 1-1/4"" 24 ESTRIAS, PARA AGRALE";#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803026;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803049/R802447;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R802689/R802447;0;"RACHE AUTO SH CC 5 1/2"" TP2 1-1/2""28E (SIN HORQUILLA)";"RACHE AUTO SH CC 5 1/2"" TP2 1-1/2""28E (SIN HORQUILLA)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R803011;0;"RACHE AUTOMATICO SIN HORQUILLA CC 5 1/2"" TIPO 2 DIA. INT 1-1/4""24E";"RACHE AUTOMATICO SIN HORQUILLA CC 5 1/2"" TIPO 2 DIA. INT 1-1/4""24E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R803027;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803195/R801041;#N/D;"RACHE AUTOMATICO SH. CC 5 1/2"" Tp3 1- 1/2 18E";#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803110/R801073;0;"RACHE AUTO CH CC 5 1/2"" TP3 1-1/2""28E (SIN HORQUILLA)";"RACHE AUTO CH CC 5 1/2"" TP3 1-1/2""28E (SIN HORQUILLA)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
R803054/R802486;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803055/R802487;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803113/801075 TP3;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R803112/R801074/75;0;"RACHE AUTO SH CC6""TP3 1-1/2""28E (SIN HORQUILLA)";"RACHE AUTO SH CC6""TP3 1-1/2""28E (SIN HORQUILLA)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
A83275C1147;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
44051/R824003;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
400-10140;#N/D;0;#N/D;HALDEX;USA;USA;VARIOS;0,00;#N/D
40910228/40010081;R806025MER;RACHE DELANTERO 28 ESTRIAS 1/2;RACHE DELANTERO 28 ESTRIAS 1/2;HALDEX;USA;USA;VARIOS;0,00;$ 0,00
A93275R1188;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
44041/R824007;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
47001/R824000;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
44061/R824004;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
R824000KTC;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
R824000 AV;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R824000/MM1200STM;R824000;"RACHE FRENO MEC. 1-1/2""10E";"RACHE FRENO MEC. 1-1/2""10E";STEMCO;STEMCO;STEMCO;EJE DELANTERO;0,00;$ 0,00
R824003SAP;#N/D;0;#N/D;SAP;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
R824003KTC;#N/D;0;#N/D;KTC;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
R824004NP;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
R824003/MM2200STM;R824003 44051;"RACHE FRENO MEC. 1!"" 1/2 28 ESTRIAS";"RACHE FRENO MEC. 1!"" 1/2 28 ESTRIAS";STEMCO;STEMCO;STEMCO;EJE DELANTERO;0,00;$ 0,00
278323N;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
R802316;0;"RACHE SIN HORQUILLA CC 5 1/2"" TP1 1-1/2"" 10E";"RACHE SIN HORQUILLA CC 5 1/2"" TP1 1-1/2"" 10E";MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;$ 0,00
1701278323;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
40910896/40010183;R806024MER;RACHE TRASERO 28 ESTRIAS 1/2;RACHE TRASERO 28 ESTRIAS 1/2;HALDEX;USA;USA;VARIOS;0,00;$ 0,00
6;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
85001;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
115;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
20;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
80;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
B110 3/8 X 1/4;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
174;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
175;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
4303828;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
RF001;#N/D;0;#N/D;PARTESCOL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
2RM3414;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
22;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
126;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
81;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
84003;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
84001;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
84005;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
2508454C91;#N/D;0;#N/D;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;0,00;#N/D
S-23031;0;RADIADOR KENWORTH T800 MODELOS 2013 EN ADELANTE (COMPAÑERO DEL S-23794);RADIADOR KENWORTH T800 MODELOS 2013 EN ADELANTE (COMPAÑERO DEL S-23794);NEWSTAR;NEWSTAR;NEWSTAR;VARIOS;0,00;$ 0,00
52097788;#N/D;0;#N/D;ISUZU;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
65170;#N/D;0;#N/D;BENDIX;BENDIX;BENDIX;MOTOR;0,00;#N/D
288539L;0;"RATCHE MANUAL 1-1/2""X10 ESTRIAS MANGO INCLINADO";"RATCHE MANUAL 1-1/2""X10 ESTRIAS MANGO INCLINADO";SAP;USA;USA;MOTOR;0,00;$ 0,00
221RD335/RDR0983PAI;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;0,00;#N/D
L03-0001;#N/D;0;#N/D;PACCAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
177;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
LUC 10019;#N/D;0;#N/D;LUCAS OIL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
99;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
PAI 4119;#N/D;REGISTRO PASO COMBUSTIBLE CUMMINS APLICACION 855 y N14 350/400 (REBORDE 3/8 NPT 3/8);#N/D;PAI;PAI;PAI;MOTOR;0,00;#N/D
23512901;#N/D;0;#N/D;DETROIT;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
85102541;#N/D;0;#N/D;VOLVO;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
15F41S01;#N/D;0;#N/D;TYCO;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
4RA-007;#N/D;0;#N/D;HELLA;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
Q43-1092-102C;#N/D;0;#N/D;PACCAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
PAI0516;0;RELOJ TEMPERATURA AGUA 144 INC;RELOJ TEMPERATURA AGUA 144 INC;PAI;PAI;PAI;MOTOR;0,00;$ 0,00
2023362C1;#N/D;0;#N/D;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;0,00;#N/D
Q43-1144-202K;#N/D;0;#N/D;PACCAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
57701-3809;#N/D;0;#N/D;VOLVO;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
3938734;#N/D;0;#N/D;VOLVO;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
0040L;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
644;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
177213;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
DKISM4955239;#N/D;0;#N/D;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;#N/D
WAB4005009252;#N/D;0;#N/D;WABCO;WABCO;WABCO;AIRE;0,00;#N/D
1033-40700-01A;#N/D;0;#N/D;BORGWARNER;BORGWARNER;BORGWARNER;AIRE;0,00;#N/D
647;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
KISX430938900S/6462543-CCF;#N/D;0;#N/D;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;#N/D
KISX430938900S/6462543-SCB;#N/D;0;#N/D;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;#N/D
SK3105-94/200.513MANS;0;REPARACION PARA QUINTA RUEDA TIPO JOST JUEGO X 6 PIEZAS;REPARACION PARA QUINTA RUEDA TIPO JOST JUEGO X 6 PIEZAS;MANSONS;MANSONS;MANSONS;SUSPENSION;0,00;$ 0,00
BTV-3-SEAT-531;#N/D;0;#N/D;BTI;USA;USA;VARIOS;0,00;#N/D
BTV-5-SEAT-531;#N/D;0;#N/D;BTI;USA;USA;VARIOS;0,00;#N/D
BTV-5-SEAT-530;#N/D;0;#N/D;BTI;USA;USA;VARIOS;0,00;#N/D
LUC 10009;#N/D;0;#N/D;LUCAS OIL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
645;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
646;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
1001401792BSM;#N/D;0;#N/D;TRP;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
2503727C1;#N/D;0;#N/D;INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;0,00;#N/D
277C AMARILLO;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
32;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
31;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
3361391;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
2258U619NP;#N/D;0;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
7500;0;RESORTE FRENO MOTOR JACOBS;RESORTE FRENO MOTOR JACOBS;JAKEBRAKE;MT-OTROS;MT-OTROS;VARIOS;0,00;$ 0,00
2892986;0;RESORTE FRENO MOTOR ISX (USA 6);RESORTE FRENO MOTOR ISX (USA 6);CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;$ 0,00
2258L714/950022;#N/D;RESORTE HORQUILLA ANTIPATINAJE S-180;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;0,00;#N/D
D129768;#N/D;0;#N/D;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;#N/D
SK847;0;RESORTE MORDAZA QUINTA RUEDA JO;RESORTE MORDAZA QUINTA RUEDA JO;JOST;NACIONAL;NACIONAL;VARIOS;0,00;$ 0,00
230C22;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;0,00;#N/D
277C88/9930PAI;277 C88;RESORTE PRENSA;RESORTE PRENSA;PAI;PAI;PAI;MOTOR;0,00;$ 0,00
14897ARM;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
HN 8870444;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
8870444TAS;#N/D;0;#N/D;TAS;TAS;TAS;TRANSMISION/DIFER;0,00;#N/D
17-148;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
940325/64420PAI;#N/D;0;#N/D;PAI;PAI;PAI;MOTOR;0,00;#N/D
21036;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
47577;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
196400-P;#N/D;0;#N/D;NACIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
1531256;#N/D;0;#N/D;CATERPILLAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
67648/3803573 CLE;3803573/136055PAI;RETENEDOR BOMBA AGUA DAMPER INTERNO L10-300 (4 TORNILLOS);RETENEDOR BOMBA AGUA DAMPER INTERNO L10-300 (4 TORNILLOS);CLEVITE;MAHLE;CLEVITE;MOTOR;0,00;$ 0,00
3803894;0;RETEN BOMBA DE AGUA DAMPER EXTERNO L10 - ISM (3 TORNILLOS);RETEN BOMBA DE AGUA DAMPER EXTERNO L10 - ISM (3 TORNILLOS);CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;$ 0,00
3803477/136163PAI;3803477-MCBEE 3803477;KIT RETENEDORES BOMBA DE COMBUSTIBLE PARA ISX-ISM-L10 CONTIENE UNO COLOR ROJO Y UNO COLOR AZUL;KIT RETENEDORES BOMBA DE COMBUSTIBLE PARA ISX-ISM-L10 CONTIENE UNO COLOR ROJO Y UNO COLOR AZUL;PAI;PAI;PAI;MOTOR;0,00;$ 0,00
SK000255;#N/D;0;#N/D;TRW;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
3344422;#N/D;0;#N/D;FULLER;FULLER;FULLER;TRANSMISION;0,00;#N/D
3937111/136105PAI;3937111;RETENEDOR CIGÜEÑAL DELANTERO SIN CAMISA CUMMINS 4BT/6BT;RETENEDOR CIGÜEÑAL DELANTERO SIN CAMISA CUMMINS 4BT/6BT;PAI;PAI;PAI;MOTOR;0,00;$ 0,00
2243871;#N/D;0;#N/D;VOLVO;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
4025270;3353977 3921927 3908141 3908139;RETENEDOR CIGUEÑAL DELANTERO ISB - 6CT - ISC - ISL SIN CAMISILLA VIENE CON 6 TUERCAS;RETENEDOR CIGUEÑAL DELANTERO ISB - 6CT - ISC - ISL SIN CAMISILLA VIENE CON 6 TUERCAS;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;$ 0,00
4955383;3685173 4955383/136130PAI 67882/4955383 4955383-MCBEE;RETENEDOR CIGUEÑAL DELANTERO CUMMINS ISX (VIENE CON GUIA DE INSTALACION);RETENEDOR CIGUEÑAL DELANTERO CUMMINS ISX (VIENE CON GUIA DE INSTALACION);CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;$ 0,00
PAI8820;0;RETEN CIGUEÑAL DELANTERO MACK E7 TODAS;RETEN CIGUEÑAL DELANTERO MACK E7 TODAS;PAI;PAI;PAI;MOTOR;0,00;$ 0,00
23516969;0;RETENEDOR CIGUEÑAL DETROIT SEREI 60;RETENEDOR CIGUEÑAL DETROIT SEREI 60;FREIGHTLINER;FREIGHTLINER;FREIGHTLINER;SUSPENSION;0,00;$ 0,00
1154109;#N/D;0;#N/D;CATERPILLAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
2223909;#N/D;0;#N/D;NATIONAL;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
1425868;#N/D;0;#N/D;CATERPILLAR;NACIONAL;NACIONAL;VARIOS;0,00;#N/D
103085-2R0;#N/D;0;#N/D;CUMMINS;CUMMINS;CUMMINS;MOTOR;0,00;#N/D
